geometry,severity,area_sqm,centroid_lat,centroid_lon
"POLYGON ((403334.3626693955 3487039.2259684554, 403334.3626693955 3487029.2259684554, 403354.3626693955 3487029.2259684554, 403354.3626693955 3487039.2259684554, 403334.3626693955 3487039.2259684554))",High,200.0,31.51415403824505,73.98206107410122
"POLYGON ((401924.3626693955 3487039.2259684554, 401924.3626693955 3487019.2259684554, 401954.3626693955 3487019.2259684554, 401954.3626693955 3487029.2259684554, 401934.3626693955 3487029.2259684554, 401934.3626693955 3487039.2259684554, 401924.3626693955 3487039.2259684554))",High,400.0,31.513967595596835,73.96724062020235
"POLYGON ((403444.3626693955 3487039.2259684554, 403444.3626693955 3487019.2259684554, 403454.3626693955 3487019.2259684554, 403454.3626693955 3487039.2259684554, 403444.3626693955 3487039.2259684554))",High,200.0,31.514117725509568,73.98316723270993
"POLYGON ((403124.3626693955 3487039.2259684554, 403124.3626693955 3487029.2259684554, 403114.3626693955 3487029.2259684554, 403114.3626693955 3487019.2259684554, 403144.3626693955 3487019.2259684554, 403144.3626693955 3487029.2259684554, 403134.3626693955 3487029.2259684554, 403134.3626693955 3487039.2259684554, 403124.3626693955 3487039.2259684554))",High,400.0,31.514068346541897,73.97979781950619
"POLYGON ((403554.3626693955 3487029.2259684554, 403554.3626693955 3487019.2259684554, 403574.3626693955 3487019.2259684554, 403574.3626693955 3487029.2259684554, 403554.3626693955 3487029.2259684554))",High,200.0,31.514082239062326,73.98437869263584
"POLYGON ((401874.3626693955 3487059.2259684554, 401874.3626693955 3487049.2259684554, 401864.3626693955 3487049.2259684554, 401864.3626693955 3487029.2259684554, 401854.3626693955 3487029.2259684554, 401854.3626693955 3487019.2259684554, 401874.3626693955 3487019.2259684554, 401874.3626693955 3487009.2259684554, 401904.3626693955 3487009.2259684554, 401904.3626693955 3487029.2259684554, 401914.3626693955 3487029.2259684554, 401914.3626693955 3487049.2259684554, 401894.3626693955 3487049.2259684554, 401894.3626693955 3487059.2259684554, 401874.3626693955 3487059.2259684554), (401874.3626693955 3487049.2259684554, 401884.3626693955 3487049.2259684554, 401884.3626693955 3487029.2259684554, 401874.3626693955 3487029.2259684554, 401874.3626693955 3487049.2259684554), (401884.3626693955 3487029.2259684554, 401894.3626693955 3487029.2259684554, 401894.3626693955 3487019.2259684554, 401884.3626693955 3487019.2259684554, 401884.3626693955 3487029.2259684554))",High,1700.0,31.514020401648505,73.96671503513163
"POLYGON ((402304.3626693955 3487049.2259684554, 402304.3626693955 3487029.2259684554, 402274.3626693955 3487029.2259684554, 402274.3626693955 3487039.2259684554, 402234.3626693955 3487039.2259684554, 402234.3626693955 3487029.2259684554, 402214.3626693955 3487029.2259684554, 402214.3626693955 3487039.2259684554, 402174.3626693955 3487039.2259684554, 402174.3626693955 3487029.2259684554, 402164.3626693955 3487029.2259684554, 402164.3626693955 3487019.2259684554, 402244.3626693955 3487019.2259684554, 402244.3626693955 3487029.2259684554, 402264.3626693955 3487029.2259684554, 402264.3626693955 3487019.2259684554, 402304.3626693955 3487019.2259684554, 402304.3626693955 3487009.2259684554, 402314.3626693955 3487009.2259684554, 402314.3626693955 3487029.2259684554, 402324.3626693955 3487029.2259684554, 402324.3626693955 3487039.2259684554, 402314.3626693955 3487039.2259684554, 402314.3626693955 3487049.2259684554, 402304.3626693955 3487049.2259684554))",High,2500.0,31.51401088300101,73.97048476395177
"POLYGON ((403574.3626693955 3487019.2259684554, 403574.3626693955 3487009.2259684554, 403594.3626693955 3487009.2259684554, 403594.3626693955 3487019.2259684554, 403574.3626693955 3487019.2259684554))",High,200.0,31.513993699950227,73.98459027199816
"POLYGON ((401994.3626693955 3487109.2259684554, 401994.3626693955 3487099.2259684554, 401984.3626693955 3487099.2259684554, 401984.3626693955 3487079.2259684554, 402014.3626693955 3487079.2259684554, 402014.3626693955 3487069.2259684554, 402024.3626693955 3487069.2259684554, 402024.3626693955 3487049.2259684554, 402014.3626693955 3487049.2259684554, 402014.3626693955 3487059.2259684554, 401994.3626693955 3487059.2259684554, 401994.3626693955 3487039.2259684554, 401984.3626693955 3487039.2259684554, 401984.3626693955 3487029.2259684554, 401974.3626693955 3487029.2259684554, 401974.3626693955 3487019.2259684554, 401984.3626693955 3487019.2259684554, 401984.3626693955 3487009.2259684554, 402034.3626693955 3487009.2259684554, 402034.3626693955 3486999.2259684554, 402044.3626693955 3486999.2259684554, 402044.3626693955 3487019.2259684554, 402054.3626693955 3487019.2259684554, 402054.3626693955 3487009.2259684554, 402074.3626693955 3487009.2259684554, 402074.3626693955 3486999.2259684554, 402094.3626693955 3486999.2259684554, 402094.3626693955 3487009.2259684554, 402104.3626693955 3487009.2259684554, 402104.3626693955 3487089.2259684554, 402094.3626693955 3487089.2259684554, 402094.3626693955 3487099.2259684554, 402054.3626693955 3487099.2259684554, 402054.3626693955 3487089.2259684554, 402034.3626693955 3487089.2259684554, 402034.3626693955 3487099.2259684554, 402004.3626693955 3487099.2259684554, 402004.3626693955 3487109.2259684554, 401994.3626693955 3487109.2259684554), (402034.3626693955 3487079.2259684554, 402044.3626693955 3487079.2259684554, 402044.3626693955 3487069.2259684554, 402034.3626693955 3487069.2259684554, 402034.3626693955 3487079.2259684554), (402064.3626693955 3487069.2259684554, 402074.3626693955 3487069.2259684554, 402074.3626693955 3487059.2259684554, 402064.3626693955 3487059.2259684554, 402064.3626693955 3487069.2259684554), (402034.3626693955 3487059.2259684554, 402044.3626693955 3487059.2259684554, 402044.3626693955 3487039.2259684554, 402034.3626693955 3487039.2259684554, 402034.3626693955 3487059.2259684554))",High,9500.0,31.514194710912985,73.96840624071638
"POLYGON ((403434.3626693955 3487019.2259684554, 403434.3626693955 3486999.2259684554, 403444.3626693955 3486999.2259684554, 403444.3626693955 3487019.2259684554, 403434.3626693955 3487019.2259684554))",High,200.0,31.513936466996817,73.98306388489915
